Localidade;Código IBGE;2007;2008;2009;2010;2011;2012;2013;
Rondônia;11;70986,0;72220,0;77766,0;74141,0;66582,0;65498,0;62864,0;
Acre;12;33038,0;28992,0;26997,0;23315,0;23236,0;27459,0;27630,0;
Amazonas;13;105541,0;96324,0;95803,0;89860,0;90980,0;107563,0;95929,0;
Roraima;14;16825,0;14762,0;11253,0;13234,0;11511,0;10775,0;9494,0;
Pará;15;268633,0;261213,0;271757,0;263263,0;251677,0;248972,0;242864,0;
Amapá;16;22709,0;22583,0;21981,0;22556,0;23894,0;22963,0;21890,0;
Tocantins;17;31616,0;24721,0;22993,0;22498,0;18945,0;22359,0;20913,0;
Maranhão;21;206702,0;199916,0;201922,0;193408,0;185488,0;172867,0;177177,0;
Piauí;22;106504,0;106687,0;106359,0;101871,0;96175,0;95855,0;96433,0;
Ceará;23;266860,0;223114,0;197904,0;176768,0;182479,0;189759,0;176242,0;
Rio Grande do Norte;24;105455,0;95126,0;86234,0;87445,0;87891,0;81458,0;85126,0;
Paraíba;25;146324,0;149079,0;141065,0;139125,0;141163,0;142417,0;150377,0;
Pernambuco;26;267283,0;271108,0;254178,0;243984,0;231653,0;228792,0;211002,0;
Alagoas;27;100449,0;102638,0;111008,0;96587,0;108384,0;101794,0;98556,0;
Sergipe;28;69196,0;64622,0;59012,0;54263,0;54196,0;53398,0;51587,0;
Bahia;29;516825,0;525375,0;499752,0;443710,0;445487,0;433414,0;429350,0;
Minas Gerais;31;349970,0;380282,0;362181,0;362469,0;355851,0;338860,0;329382,0;
Espírito Santo;32;64945,0;66142,0;69149,0;69894,0;69359,0;71716,0;72530,0;
Rio de Janeiro;33;386970,0;428082,0;421652,0;401867,0;323931,0;290669,0;250271,0;
São Paulo;35;915630,0;892933,0;780394,0;599037,0;505171,0;476136,0;456828,0;
Paraná;41;192474,0;180423,0;158010,0;162945,0;140677,0;145027,0;131055,0;
Santa Catarina;42;123575,0;112372,0;97827,0;89867,0;78597,0;64996,0;53686,0;
Rio Grande do Sul;43;165812,0;158910,0;143436,0;139617,0;136498,0;136068,0;134975,0;
Mato Grosso do Sul;50;73587,0;77509,0;74530,0;48661,0;47521,0;39719,0;37309,0;
Mato Grosso;51;90470,0;90838,0;94324,0;99752,0;103714,0;98003,0;93625,0;
Goiás;52;91079,0;82803,0;74853,0;79006,0;67797,0;59599,0;59622,0;
Distrito Federal;53;58650,0;67262,0;55974,0;51290,0;51985,0;49768,0;47195,0;
Alta Floresta d'Oeste;1100015;857,0;883,0;830,0;753,0;728,0;675,0;637,0;
Ariquemes;1100023;5424,0;5662,0;6112,0;5559,0;5009,0;4998,0;4612,0;
Cabixi;1100031;347,0;341,0;258,0;272,0;267,0;249,0;199,0;
Cacoal;1100049;3971,0;3672,0;4168,0;3383,0;3083,0;2464,0;2026,0;
Cerejeiras;1100056;1290,0;1110,0;1155,0;1056,0;823,0;887,0;847,0;
Colorado do Oeste;1100064;1017,0;1003,0;1072,0;829,0;760,0;737,0;636,0;
Corumbiara;1100072;171,0;163,0;212,0;260,0;297,0;273,0;305,0;
Costa Marques;1100080;623,0;634,0;628,0;459,0;396,0;442,0;500,0;
Espigão d'Oeste;1100098;1190,0;1115,0;1258,0;1199,0;1217,0;1257,0;920,0;
Guajará-Mirim;1100106;1627,0;2027,0;2407,0;2439,0;1974,0;1863,0;2029,0;
Jaru;1100114;3484,0;3444,0;3308,0;3219,0;2734,0;2402,0;2445,0;
Ji-Paraná;1100122;5076,0;5202,0;5616,0;5269,0;4274,0;5115,0;4534,0;
Machadinho d'Oeste;1100130;1279,0;1426,0;1629,0;1552,0;1396,0;1405,0;1200,0;
Nova Brasilândia d'Oeste;1100148;456,0;611,0;765,0;810,0;791,0;740,0;772,0;
Ouro Preto do Oeste;1100155;1898,0;1794,0;1923,0;1918,0;1827,0;2050,0;1761,0;
Pimenta Bueno;1100189;1682,0;1417,0;1547,0;1610,0;1591,0;1285,0;1479,0;
Porto Velho;1100205;22490,0;23413,0;24280,0;22607,0;20287,0;19730,0;20022,0;
Presidente Médici;1100254;1162,0;1128,0;1062,0;1059,0;961,0;1189,0;893,0;
Rio Crespo;1100262;161,0;139,0;121,0;210,0;143,0;124,0;108,0;
Rolim de Moura;1100288;1635,0;1639,0;1451,0;1437,0;1549,0;1360,0;1424,0;
Santa Luzia d'Oeste;1100296;453,0;487,0;444,0;391,0;299,0;309,0;299,0;
Vilhena;1100304;3642,0;3342,0;3876,0;4479,0;4022,0;3772,0;3485,0;
São Miguel do Guaporé;1100320;586,0;630,0;865,0;801,0;750,0;761,0;754,0;
Nova Mamoré;1100338;792,0;845,0;944,0;1076,0;995,0;1075,0;1002,0;
Alvorada d'Oeste;1100346;244,0;351,0;357,0;391,0;220,0;342,0;386,0;
Alto Alegre dos Parecis;1100379;291,0;318,0;278,0;122,0;208,0;132,0;153,0;
Alto Paraíso;1100403;82,0;157,0;194,0;492,0;373,0;403,0;381,0;
Buritis;1100452;1437,0;1286,0;1556,0;1614,0;1339,0;1175,0;955,0;
Novo Horizonte do Oeste;1100502;462,0;415,0;496,0;510,0;439,0;454,0;419,0;
Cacaulândia;1100601;152,0;84,0;31,0;159,0;135,0;146,0;122,0;
Campo Novo de Rondônia;1100700;283,0;268,0;338,0;310,0;275,0;240,0;215,0;
Candeias do Jamari;1100809;1331,0;1480,0;1550,0;1287,0;1182,0;1168,0;1126,0;
Castanheiras;1100908;90,0;82,0;92,0;108,0;172,0;144,0;72,0;
Chupinguaia;1100924;362,0;229,0;292,0;353,0;318,0;251,0;217,0;
Cujubim;1100940;422,0;639,0;693,0;621,0;586,0;464,0;455,0;
Governador Jorge Teixeira;1101005;666,0;519,0;528,0;492,0;500,0;347,0;281,0;
Itapuã do Oeste;1101104;622,0;532,0;578,0;524,0;424,0;433,0;483,0;
Ministro Andreazza;1101203;245,0;125,0;207,0;239,0;321,0;260,0;228,0;
